福建移动,#genre#
网课1 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
网课2 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
网课3 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
网课4 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226638/index.m3u8
网课11 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
网课12 7M1080[1920*1080], http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8


44,http://61.51.122.50:8888/newlive/live/hls/44/live.m3u8
45,http://61.51.122.50:8888/newlive/live/hls/45/live.m3u8
46,http://61.51.122.50:8888/newlive/live/hls/46/live.m3u8
47,http://61.51.122.50:8888/newlive/live/hls/47/live.m3u8
48,http://61.51.122.50:8888/newlive/live/hls/48/live.m3u8
49,http://61.51.122.50:8888/newlive/live/hls/49/live.m3u8
50,http://61.51.122.50:8888/newlive/live/hls/50/live.m3u8
51,http://61.51.122.50:8888/newlive/live/hls/51/live.m3u8
52,http://61.51.122.50:8888/newlive/live/hls/52/live.m3u8
53,http://61.51.122.50:8888/newlive/live/hls/53/live.m3u8
54,http://61.51.122.50:8888/newlive/live/hls/54/live.m3u8
55,http://61.51.122.50:8888/newlive/live/hls/55/live.m3u8
56,http://61.51.122.50:8888/newlive/live/hls/56/live.m3u8
57,http://61.51.122.50:8888/newlive/live/hls/57/live.m3u8
